Model,Accuracy,Precision,Recall,F1-Score
KNeighbors,87.1111111111111,84.03478003478004,18.64406779661017,84.34864498644987
Support vector machine,90.44444444444444,89.57225607462574,37.28813559322034,88.92419636840046
Naive bayes,90.44444444444444,90.82407407407408,28.8135593220339,88.1384509914279
Decision Tree,80.22222222222221,81.97810111699,35.59322033898305,81.03638996703252
Random Forest,88.44444444444444,88.49483497102545,13.559322033898304,84.54330065359477
AdaBoostClassifier,90.22222222222223,89.28079852902549,35.59322033898305,88.59529296738599
GradientBoostingClassifier,89.55555555555556,88.22395245617994,33.89830508474576,87.89388905383306
XGB classifier,89.77777777777777,88.67555555555555,32.20338983050847,87.92195767195767
