Model,Accuracy,Precision,Recall,F1-Score
KNeighbors,76.15384615384615,79.16015865035473,91.96891191709845,75.57731613266252
Support vector machine,74.48717948717949,74.5140488456218,75.64766839378238,74.48579563522092
Naive bayes,77.43589743589745,77.45478321543231,75.64766839378238,77.42699055330633
Decision Tree,80.0,80.00394736842105,79.01554404145078,79.99723776890649
Random Forest,86.7948717948718,86.8203608736942,85.23316062176166,86.79033282320242
AdaBoostClassifier,80.25641025641026,80.2582444555935,80.31088082901555,80.25679969937026
GradientBoostingClassifier,82.6923076923077,82.7622407540265,84.71502590673575,82.68795458658015
XGB classifier,87.94871794871794,87.9596017629891,88.60103626943005,87.94895564815157
